Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71676251,4,"Saturday, November  5, 2011 21:52:18 UTC",37.8492,-122.2363,3.2,6.40,82,"San Francisco Bay area, California"
at,00lu7gdt,1,"Saturday, November  5, 2011 20:46:41 UTC",56.5920,-136.0509,4.7,20.00,11,"off the coast of Southeastern Alaska"
ci,15072724,0,"Saturday, November  5, 2011 20:33:20 UTC",33.8592,-118.3065,2.7,22.70,87,"Greater Los Angeles area, California"
pr,11309004,0,"Saturday, November  5, 2011 19:57:57 UTC",18.8789,-64.4960,3.0,33.50,10,"Virgin Islands region"
us,b0006khn,6,"Saturday, November  5, 2011 19:53:59 UTC",1.3600,123.2170,4.7,42.70,46,"Minahasa, Sulawesi, Indonesia"
us,b0006kha,7,"Saturday, November  5, 2011 19:19:16 UTC",38.6836,43.5705,4.4,6.20,41,"eastern Turkey"
nc,71676146,1,"Saturday, November  5, 2011 17:43:28 UTC",36.6178,-121.2257,2.5,5.80,49,"Central California"
us,b0006kf8,7,"Saturday, November  5, 2011 16:49:37 UTC",-28.8285,-176.9546,5.1,50.70,62,"Kermadec Islands region"
ak,10349409,2,"Saturday, November  5, 2011 15:24:46 UTC",51.9787,-170.8351,3.7,48.00,12,"Fox Islands, Aleutian Islands, Alaska"
us,b0006kdy,5,"Saturday, November  5, 2011 14:36:30 UTC",35.5843,-96.7893,3.6,4.90,25,"Oklahoma"
pr,11309002,0,"Saturday, November  5, 2011 13:52:01 UTC",19.1800,-68.0419,3.4,8.10, 8,"Dominican Republic region"
us,b0006kdk,D,"Saturday, November  5, 2011 13:42:26 UTC",35.5303,-96.7656,3.4,5.00, 0,"Oklahoma"
pr,11309003,0,"Saturday, November  5, 2011 13:12:07 UTC",18.8260,-64.7819,2.9,5.50, 4,"Virgin Islands region"
ak,10349370,1,"Saturday, November  5, 2011 12:58:39 UTC",59.8529,-153.0700,3.1,105.10,20,"Southern Alaska"
us,b0006kd1,7,"Saturday, November  5, 2011 12:09:44 UTC",-4.6090,139.1049,4.8,43.80,39,"Papua, Indonesia"
us,b0006kcn,7,"Saturday, November  5, 2011 11:24:15 UTC",35.5214,-96.7778,3.3,5.00,26,"Oklahoma"
us,b0006kbv,6,"Saturday, November  5, 2011 09:12:11 UTC",35.5909,-96.7879,3.3,4.90,26,"Oklahoma"
us,b0006kbt,5,"Saturday, November  5, 2011 08:58:45 UTC",50.6819,97.8395,4.7,27.30,27,"southwestern Siberia, Russia"
us,b0006kax,8,"Saturday, November  5, 2011 07:56:54 UTC",39.6748,143.1649,4.8,41.10,60,"off the east coast of Honshu, Japan"
us,b0006kbh,3,"Saturday, November  5, 2011 07:50:42 UTC",35.5593,-96.7621,2.7,4.80,13,"Oklahoma"
us,b0006kat,3,"Saturday, November  5, 2011 07:44:34 UTC",35.4876,-96.7549,2.7,5.00,12,"Oklahoma"
us,b0006k9x,4,"Saturday, November  5, 2011 07:27:20 UTC",35.5660,-96.6980,3.4,5.00, 0,"Oklahoma"
us,b0006k8n,6,"Saturday, November  5, 2011 07:13:57 UTC",-23.5293,-70.3998,5.7,27.30,205,"Antofagasta, Chile"
us,b0006k8b,C,"Saturday, November  5, 2011 07:12:45 UTC",35.5534,-96.7484,4.7,4.00,148,"Oklahoma"
ak,10349319,2,"Saturday, November  5, 2011 06:43:47 UTC",53.0351,-169.6472,3.4,3.20,11,"Fox Islands, Aleutian Islands, Alaska"
pr,11309001,0,"Saturday, November  5, 2011 05:18:04 UTC",18.8700,-67.6230,3.2,4.90, 7,"Puerto Rico region"
pr,11309000,0,"Saturday, November  5, 2011 04:39:46 UTC",19.0839,-64.8249,2.8,17.10, 3,"Virgin Islands region"
ak,10349280,2,"Saturday, November  5, 2011 03:29:52 UTC",52.1954,179.6751,3.6,43.80,19,"Rat Islands, Aleutian Islands, Alaska"
us,b0006k6x,5,"Saturday, November  5, 2011 03:22:28 UTC",39.2326,71.7556,4.8,10.00,52,"Tajikistan"
ak,10349263,1,"Saturday, November  5, 2011 02:57:58 UTC",62.2490,-151.1783,2.8,84.70,47,"Central Alaska"
ak,10349251,1,"Saturday, November  5, 2011 02:17:07 UTC",60.3000,-152.8353,2.6,5.70, 7,"Southern Alaska"
us,b0006k6c,4,"Saturday, November  5, 2011 02:01:38 UTC",38.6630,43.6979,4.3,7.40,36,"eastern Turkey"
us,b0006k69,B,"Saturday, November  5, 2011 01:49:19 UTC",-18.2929,168.3091,5.8,39.50,221,"Vanuatu"
ci,15072484,0,"Saturday, November  5, 2011 01:30:58 UTC",33.0517,-118.0698,2.6,14.80,29,"Gulf of Santa Catalina, California"
ak,10349212,2,"Saturday, November  5, 2011 00:57:21 UTC",59.4902,-153.4325,4.4,110.40,67,"Southern Alaska"
ak,10349180,2,"Friday, November  4, 2011 23:31:41 UTC",51.4463,-176.6729,2.9,25.60,17,"Andreanof Islands, Aleutian Islands, Alaska"
us,b0006k5a,5,"Friday, November  4, 2011 23:12:24 UTC",-37.1832,-73.8765,4.5,7.50,21,"offshore Bio-Bio, Chile"
ci,15072436,2,"Friday, November  4, 2011 23:03:09 UTC",32.9037,-116.2333,2.7,6.60,96,"Southern California"
us,b0006k51,5,"Friday, November  4, 2011 22:54:18 UTC",37.8675,144.1395,4.8,41.00,54,"off the east coast of Honshu, Japan"
us,b0006k4d,5,"Friday, November  4, 2011 22:01:12 UTC",-16.1805,-175.1490,4.3,302.60,46,"Tonga"
us,b0006k3q,6,"Friday, November  4, 2011 21:44:22 UTC",-17.6138,-178.7785,4.2,568.90,48,"Fiji region"
us,b0006k38,6,"Friday, November  4, 2011 21:31:35 UTC",-7.1944,103.7913,5.2,35.00,93,"southwest of Sumatra, Indonesia"
us,b0006k28,5,"Friday, November  4, 2011 21:05:14 UTC",-7.0657,127.4356,4.8,305.60,46,"Kepulauan Barat Daya, Indonesia"
us,b0006js3,8,"Friday, November  4, 2011 15:43:45 UTC",-15.1833,167.3661,5.8,145.80,75,"Vanuatu"
us,b0006jqm,5,"Friday, November  4, 2011 14:59:53 UTC",-8.8895,115.7405,5.1,98.30,49,"Bali region, Indonesia"
us,b0006jqx,5,"Friday, November  4, 2011 14:56:35 UTC",35.6473,140.6786,4.9,54.20,38,"near the east coast of Honshu, Japan"
ak,10348720,1,"Friday, November  4, 2011 12:31:48 UTC",63.5952,-147.7995,2.9,3.70,38,"Central Alaska"
us,b0006jna,7,"Friday, November  4, 2011 11:22:06 UTC",39.9422,14.8145,4.5,325.80,60,"Tyrrhenian Sea"
us,b0006jmh,5,"Friday, November  4, 2011 10:29:27 UTC",42.0443,139.8561,4.6,190.10,87,"Hokkaido, Japan region"
ak,10348689,1,"Friday, November  4, 2011 09:18:14 UTC",58.2481,-154.2598,3.3,77.90,63,"Alaska Peninsula"
ci,15072292,2,"Friday, November  4, 2011 07:53:06 UTC",32.1860,-115.2823,2.8,10.00,16,"Baja California, Mexico"
ak,10348630,1,"Friday, November  4, 2011 03:09:28 UTC",62.3862,-149.3941,2.5,14.10,27,"Central Alaska"
ci,15072204,3,"Friday, November  4, 2011 03:01:26 UTC",32.1753,-115.2403,3.3,13.90,18,"Baja California, Mexico"
us,b0006jit,8,"Friday, November  4, 2011 02:59:18 UTC",36.0412,141.1481,5.0,35.00,208,"near the east coast of Honshu, Japan"
us,b0006jif,7,"Friday, November  4, 2011 02:39:41 UTC",19.5317,-109.3667,4.0,10.00,62,"Revilla Gigedo Islands region"
pr,11308000,0,"Friday, November  4, 2011 00:54:06 UTC",18.9379,-67.7340,3.2,22.00, 7,"Puerto Rico region"
ak,10348486,2,"Thursday, November  3, 2011 20:41:28 UTC",51.0688,-176.0195,3.3,25.70,15,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10348480,3,"Thursday, November  3, 2011 20:23:52 UTC",51.1809,-176.0380,4.1,25.80,16,"Andreanof Islands, Aleutian Islands, Alaska"
pr,11307004,0,"Thursday, November  3, 2011 20:10:55 UTC",18.9829,-67.5169,3.0,20.00, 4,"Puerto Rico region"
ak,10348450,2,"Thursday, November  3, 2011 19:34:38 UTC",57.5336,-154.8947,2.5,52.20,18,"Kodiak Island region, Alaska"
ak,10349107,2,"Thursday, November  3, 2011 16:01:47 UTC",51.9821,-171.4443,3.1,41.40, 9,"Fox Islands, Aleutian Islands, Alaska"
us,b0006j0f,A,"Thursday, November  3, 2011 15:47:33 UTC",55.5507,163.9874,5.0,21.90,174,"off the east coast of the Kamchatka Peninsula, Russia"
pr,11307002,0,"Thursday, November  3, 2011 12:56:37 UTC",19.4109,-67.8089,3.2,51.90, 6,"Dominican Republic region"
us,b0006itr,4,"Thursday, November  3, 2011 11:40:11 UTC",-24.1756,-69.9020,5.2,91.20,175,"Antofagasta, Chile"
us,b0006iti,7,"Thursday, November  3, 2011 11:34:20 UTC",36.4504,71.3215,4.9,95.00,60,"Hindu Kush region, Afghanistan"
ak,10348204,2,"Thursday, November  3, 2011 11:19:23 UTC",59.7690,-152.0078,2.6,66.20,53,"Southern Alaska"
ak,10349095,2,"Thursday, November  3, 2011 11:19:23 UTC",52.4056,-168.7113,2.6,8.00, 5,"Fox Islands, Aleutian Islands, Alaska"
us,b0006irn,7,"Thursday, November  3, 2011 10:34:29 UTC",35.7838,139.9833,5.1,70.40,131,"near the south coast of Honshu, Japan"
us,b0006iqm,3,"Thursday, November  3, 2011 09:57:24 UTC",-31.3948,-71.8989,4.6,21.60,17,"offshore Coquimbo, Chile"
us,b0006ine,3,"Thursday, November  3, 2011 07:55:00 UTC",-34.2488,-72.3347,4.6,13.00,12,"offshore Libertador O'Higgins, Chile"
pr,11307001,0,"Thursday, November  3, 2011 07:42:47 UTC",18.9470,-67.6190,3.4,7.00,13,"Puerto Rico region"
us,b0006ime,6,"Thursday, November  3, 2011 06:37:49 UTC",-55.5458,-28.1544,4.9,46.20,20,"South Sandwich Islands region"
ci,15071996,2,"Thursday, November  3, 2011 05:49:23 UTC",32.2085,-115.2843,2.6,15.10,22,"Baja California, Mexico"
us,b0006ilp,4,"Thursday, November  3, 2011 05:42:22 UTC",-8.0975,119.5857,4.4,184.30,15,"Flores region, Indonesia"
ci,15071972,2,"Thursday, November  3, 2011 04:21:28 UTC",32.1500,-115.2517,2.7,10.00,19,"Baja California, Mexico"
nc,71675026,3,"Thursday, November  3, 2011 03:14:30 UTC",39.2478,-123.4223,2.5,0.00,66,"Northern California"
hv,60280336,1,"Thursday, November  3, 2011 02:23:57 UTC",19.1522,-155.5870,2.9,7.80,63,"Island of Hawaii, Hawaii"
us,b0006ik8,4,"Thursday, November  3, 2011 01:51:41 UTC",-31.3847,-71.9081,4.7,22.40,17,"offshore Coquimbo, Chile"
pr,11307000,0,"Thursday, November  3, 2011 01:49:07 UTC",18.9599,-67.6289,3.4,23.00,10,"Puerto Rico region"
us,b0006ijt,3,"Thursday, November  3, 2011 00:19:00 UTC",-10.2041,161.0528,4.7,54.40,35,"Solomon Islands"
ak,10346816,3,"Wednesday, November  2, 2011 22:39:26 UTC",52.1472,-171.4740,3.4,41.70,10,"Fox Islands, Aleutian Islands, Alaska"
us,b0006ihk,3,"Wednesday, November  2, 2011 22:05:47 UTC",-5.4837,151.9102,4.5,64.70,11,"New Britain region, Papua New Guinea"
us,b0006ih3,5,"Wednesday, November  2, 2011 21:44:15 UTC",38.9392,43.5532,4.4,5.00, 0,"eastern Turkey"
pr,11306008,0,"Wednesday, November  2, 2011 21:07:21 UTC",19.1240,-66.4889,2.9,25.10, 6,"Puerto Rico region"
pr,11306007,0,"Wednesday, November  2, 2011 21:00:16 UTC",18.9880,-64.7919,3.0,57.00, 4,"Virgin Islands region"
ak,10346759,2,"Wednesday, November  2, 2011 20:53:09 UTC",51.4515,-176.4441,2.9,31.30,14,"Andreanof Islands, Aleutian Islands, Alaska"
pr,11306009,0,"Wednesday, November  2, 2011 20:52:16 UTC",19.1299,-66.4869,3.0,18.20,10,"Puerto Rico region"
pr,11306006,0,"Wednesday, November  2, 2011 20:48:52 UTC",19.1509,-66.4810,3.0,19.00,17,"Puerto Rico region"
ci,15071804,3,"Wednesday, November  2, 2011 20:28:07 UTC",31.9172,-117.1223,3.3,10.00,20,"offshore Baja California, Mexico"
pr,11306005,0,"Wednesday, November  2, 2011 20:21:36 UTC",18.7929,-64.6559,3.2,79.00, 4,"Virgin Islands region"
us,b0006ib9,9,"Wednesday, November  2, 2011 19:01:33 UTC",9.6544,-84.7882,5.4,39.60,266,"Costa Rica"
ci,15071740,2,"Wednesday, November  2, 2011 18:48:59 UTC",32.0848,-115.1770,2.6,5.70, 8,"Baja California, Mexico"
ci,15071724,2,"Wednesday, November  2, 2011 17:42:34 UTC",34.4938,-119.2768,2.5,2.80,42,"Southern California"
